Id,Category,Paper Title
0,Theory,"[Liskov93]  Liskov B., Day M., Shrira L.   Distributed Object Management in Thor.   In M. Tamer Ozsu and Umesh Dayal and Patrick Valduriez, editors,   Distributed Object Management.   San Mateo, California,   1993. "
1,Theory,"[engler:exokernel]  Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:   An operating system architecture for application-level resource management.   In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. "
2,Theory,"[FRM94]  Christos Faloutsos, M. Ranganathan, and Yannis Manolopoulos.   Fast subsequence matching in time-series databases.   Proc. ACM SIGMOD,   pages 419-429,   May   1994.   `Best Paper\' award; also available as CS-TR-3190, UMIACS-TR-93-131. 24 "
5,Theory,"[KSF + 96]  F. Korn, N. Sidiropolous, C. Faloutos, E. Siegel, and Z. Protopapas.   Fast nearest neighbor search in medical image databases.   International Conference on Very Large Data Bases,   pages 215-226,   1996. "
7,Theory,"[CDJ91]  R.G. Covington, S. Dwarkadas, J.R. Jump, J.B. Sinclair, and S. Madala.   ""The Efficient Simulation of Parallel Computer Systems.""   International Journal in Computer Simulation,   1   31-58,   1991. "
9,Theory,"[Pope and Lowe, 1996]  Pope, A. and Lowe, D.   (1996).   Learning appearance models for object recognition.   In International Workshop on Object Representation for Computer Vision,   Cambridge, England. "
11,Theory,"[36]  Arthur R. Pope.   Learning to Recognize Objects in Images: Acquiring and Using Probablistic Models of Appearance.   PhD thesis,   University of British Columbia,   1995. "
12,Theory,"[3]  Guruduth Banavar.   An Application Framework for Compositional Modularity.   PhD thesis,   University of Utah,   Salt Lake City, Utah,   1995. "
13,Theory,"[GSSL94]  R. Gawlick, R. Segala, J.F. Stgaard-Andersen, and N.A. Lynch.   Liveness in timed and untimed systems.   In S. Abiteboul and E. Shamir, editors,   Proceedings 21 th ICALP, Jerusalem, volume 820 of Lecture Notes in Computer Science.   Springer-Verlag,   1994.   A full version appears as MIT Technical Report number MIT/LCS/TR-587. "
14,Theory,"[Hei94]  Heitmeyer, C.; Lynch, N.:   The Generalized Railroad Crossing: A Case Study in Formal Verification of Real-Time Systems.   In Proceedings of the 15th IEEE Real-Time Systems Symposium,   San Juan, Puerto Rico,   IEEE Computer Society Press,   pages 120 -131,   December 1994 Proving Safety Properties of the Steam Boiler Controller G. Leeb, N.   Lynch Page 20 of 20 "
16,Theory,"[Hen92]  T.A. Henzinger.   Sooner is safer than later.   Information Processing Letters,   43(3)   135-141,   1992. "
