paper_id,title,author,abstract,affiliation,address,category
1,A Trip-based Multicasting Model in Wormhole-routed Networks with Virtual Channels,"Yu-Chee Tseng, Dhabaleswar K. Panda, Member, IEEE, and Ten-Hwang Lai, Member, IEEE","Abstract| This paper focuses on efficient multicasting in wormhole-routed networks. A trip-based model is proposed to support adaptive, distributed, and deadlock-free multiple multicast on any network with arbitrary topology using at most two virtual channels per physical channel. This model significantly generalizes the path-based model proposed earlier [21], [22], which works only for Hamiltonian networks and can not be applicable to networks with arbitrary topology resulted due to system faults. Fundamentals of the trip-based model, including the necessary and sufficient condition to be deadlock-free, and the use of appropriate number of virtual channels to avoid deadlock are investigated. The potential of this model is illustrated by applying it to hyper-cubes with faulty nodes. Simulation results indicate that the proposed model can implement multiple multicast on faulty hypercubes with negligible performance degradation.",,,3
2,Space Deformation using Ray Deectors,Yair Kurzion and Roni Yagel,"Abstract In this paper we introduce a new approach to the deformation of surface and raster models in two and three dimensions. Rather then deforming the objects in the model, we deform the rays used to render the scene. The mechanism to specify the deformation, which we call a deector, is a vector of gravity positioned in space. This gravity vector bends any ray that travels through its field of gravity. Images generated by these curved rays give the impression of a deformed space. Unlike previous methods that deform all the objects in the scene, our approach deforms only those parts of the model that contribute to the final image. In addition, using deectors, our approach can deform any object type that can be rendered by a ray casting algorithm, providing a unified solution to space deformation.",Department of Computer and Information Science   The Ohio State University,,4
3,Efficient Rasterization of Implicit Functions,Torsten Mller and Roni Yagel,"Abstract Implicit curves are widely used in computer graphics because of their powerful features for modeling and their ability for general function description. The most popular rasterization techniques for implicit curves are space subdivision and curve tracking. In this paper we are introducing an efficient curve tracking algorithm that is also more robust then existing methods. We employ the Predictor-Corrector Method on the implicit function to get a very accurate curve approximation in a short time. Speedup is achieved by adapting the step size to the curvature. In addition, we provide mechanisms to detect and properly handle bifurcation points, where the curve intersects itself. Finally, the algorithm allows the user to trade-off accuracy for speed and vice a versa. We conclude by providing examples that dem-onstrate the capabilities of our algorithm.",Department of Computer and Information Science   The Ohio State University,"Columbus, Ohio",4
4,Alleviating Consumption Channel Bottleneck in Wormhole-Routed k-ary n-cube Systems 1,Debashis Basak and Dhabaleswar K. Panda,"Abstract This paper identifies performance degradation in wormhole routed k-ary n-cube networks due to limited number of router-to-processor consumption channels at each node. Many recent research in wormhole routing have advocated the advantages of adaptive routing and virtual channel flow control schemes to deliver better network performance. This paper indicates that the advantages associated with these schemes can not be realized with limited consumption capacity. To alleviate such performance bottleneck, a new network interface design using multiple consumption channels is proposed. To match virtual multiplexing on network channels, we also propose each consumption channel to support multiple virtual consumption channels. The impact of message arrival rate at a node on the required number of consumption channel is studied analytically. It is shown that wormhole networks with higher routing adaptivity, dimensionality, degree of hot-spot traffic, and number of virtual lanes have to take advantage of multiple consumption channels to deliver better performance. The interplay between system topology, routing algorithm, number of virtual lanes, messaging overheads, and communication traffic is studied through simulation to derive the effective number of consumption channels required in a system. Using the on-going technological trend, it is shown that wormhole-routed systems can use up to 2-4 consumption channels per node to deliver better system performance.",Dept. of Computer and Information Science   The Ohio State University,"Columbus, OH 43210-1277",0
5,A Certificate Path Generation Algorithm for Authenticated Signaling in ATM Networks,Jun Xu Mukesh Singhal,"Abstract ATM Forum specifies public key cryptography to be the default ATM authentication mechanism and directory services like X.509 to be the infrastructure for public key distribution and certification. Authenticated signaling, widely acknowledged as a necessary security feature of ATM network, requires the signaling message to be authenticated with a digital signature signed by the private key of the calling party. To verify the digital signature, the called party needs to obtain the public key of the calling party and a proof of the calling party's ownership to that public key. In X.509, the standard form of such a proof is a chain of public key certificates, called the certificate path between two parties. Certificate exchange protocol (CEP), proposed by ATM Forum, requires that another bi-directional connection be established between two parties to exchange public keys and certificate paths before an authenticated connection can be set up, which is not an ideal approach. We propose an algorithm which is embedded into ATM routing protocols to generate a certificate path inside a signaling message on-the-fly as the signaling message travels through the ATM network. In this approach, all that a calling party needs to know for authentication purpose is its own public key certificate and the ATM network builds the rest of the certificate path for it. Related issues like distribution of public key certificates and optimization of CA hierarchy are also addressed in this paper.",Department of Computer and Information Science   The Ohio State University,"Columbus, OH 43210",3
6,A Neural Network for Attentional Spotlight,Wee Kheng Leow and Risto Miikkulainen,"Abstract According to space-based theory, visual attention is limited to a local region in space called the attentional field. Visual information within the attentional field is enhanced for further processing while information outside is suppressed. There is evidence that enhancement and suppression are achieved with dynamic weighting of network activity. This paper discusses a neural network that generates the appropriate weights, called the attentional spotlight, given the size and the position of the intended attentional field. The network has three layers. A shunting feedback network serves as the output layer and performs a critical task which cannot be accomplished by feedforward networks.","Department of Computer Sciences,   University of Texas at Austin,","Austin, Texas 78712",2
7,Integrating Topological and Metric Maps for Mobile Robot Navigation: A Statistical Approach,"Sebastian Thrun 1 , Steffen Gutmann 2 , Dieter Fox 3 , Wolfram Burgard 3 , and Benjamin J. Kuipers 4","Abstract The problem of concurrent mapping and localization has received considerable attention in the mobile robotics community. With few exceptions, existing approaches can largely be grouped into two distinct paradigms: topological and metric. This paper proposes a method that integrates both paradigms. It poses the mapping problem as a statistical maximum likelihood problem, and devises an efficient algorithm for search in likelihood space. Based on that, it presents an novel mapping algorithm that integrates two phases: a topological and a metric mapping phase. The topological mapping phase solves a global position alignment problem between potentially indistinguishable, significant places. The subsequent metric mapping phase produces a fine-grained metric map of the environment in floating-point resolution. Experimental results in cyclic environments of sizes up to 80 by 25 meters demonstrate the appropriateness of this approach.",1  Computer Science Department  2 Institut fur Informatik 3 Institut fur Informatik III 4 Computer Science Department   Carnegie Mellon University Universitat Freiburg University of Bonn University of Texas at Austin,"Pittsburgh, PA 15213 D-79110 Freiburg, Germany D-53117 Bonn, Germany Austin, TX 78712",0
8,Massively Parallel Computation for Three-Dimensional Monte Carlo Semiconductor Device Simulation,"Henry Sheng, Roberto Guerrieri  and Alberto Sangiovanni-Vincentelli","Abstract This work presents a study of the applicability of a massively parallel computing paradigm to Monte Carlo techniques for device simulation. A unique mapping of Monte Carlo to SIMD fine-grained parallelism has been developed, decoupling the problem into separate computational domains. For MOSFET simulation, this novel mapping allows estimated speeds of over 200,000 scatterings processed per second on a 65,536 processor Connection Machine, nearly a factor of six over the fastest known to date.","Department of Electrical Engineering and Computer Sciences   University of California,","Berkeley, CA 94720, U.S.A.",3
9,On Hamiltonian Triangulations in Simple Polygons,Giri NARASIMHAN 1,"Abstract A simple polygon P is said to have a Hamilitonian Triangulation if it has a triangulation whose dual graph contains a Hamiltonian path. Such triangulations are useful in fast rendering engines in Computer Graphics. Arkin et al. [AHMS] observed that a polygon has a Hamiltonian triangulation if and only if it is Discretely Straight Walkable, a concept that is a discrete version of Straight Walkability concept as introduced by Icking and Klein [IK]. Using this characterization, Arkin et al. also showed an algorithm to recognize such polygons in time that is linear in the size of the visibility polygon of the given polygon P . The size of the visbility polygon of P could be quadratic in the size of P and hence their algorithm could be very inefficient even for nearly convex polygons. We give a new characterization of polygons with Hamiltonian triangulations. We use this characterization to present the following algorithms: * An O(n log n)-time algorithm to recognize polygons with a Hamiltonian triangulation. * An O(n log n)-time algorithm to construct such a triangulation. * Given vertices p and q on a simple polygon, an O(n)-time algorithm to determine whether the polygon is discretely straight walkable with respect to the two vertices. * An O(n log n)-time algorithm to list out all pairs of points on a simple polygon with respect to which the polygon is discretely straight walkable.",Dept. of Mathematical Sciences   The University of Memphis,Memphis TN 38152,3
10,On the Robustness of the Damped V -cycle of the Wavelet Frequency Decomposition Multigrid Method,Andreas Rieder 1fl Xiaodong Zhou 1,"Abstract The V -cycle of the wavelet variation of the ""Frequency decomposition multigrid method"" of Hackbusch [Numer. Math., 56, pp. 229-245, 1989] is considered. It is shown that its convergence speed is not affected by the presence of anisotropy provided that the corresponding coarse grid correction is damped sufficiently strong. Our analysis is based on properties of wavelet packets which are supplied and proved. Numerical approximations to the speed of convergence illustrate the theoretical results.",,,2
11,Neuronal Goals: Efficient Coding and Coincidence Detection,Nathan Intrator,"Abstract| Barlow's seminal work on minimal entropy codes and unsupervised learning is reiterated. In particular, the need to transmit the probability of events is put in a practical neuronal framework for detecting suspicious events. A variant of the BCM learning rule [15] is presented together with some mathematical results suggesting optimal minimal entropy coding.",School of Mathematical Sciences   Tel Aviv University,,0
12,Evolving Visually Guided Robots,"D. Cliff, P. Husbands, I. Harvey",,The University of Sussex   School of Cognitive and Computing Sciences,"Falmer Brighton BN1 9QH England, U.K.",0
13,MPI: A Message Passing Interface The MPI Forum,,"This paper presents an overview of mpi, a proposed standard message passing interface for MIMD distributed memory concurrent computers. The design of mpi has been a collective effort involving researchers in the United States and Europe from many organizations and institutions. mpi includes point-to-point and collective communication routines, as well as support for process groups, communication contexts, and application topologies. While making use of new ideas where appropriate, the mpi standard is based largely on current practice.",,,4
14,Reactive Functional Programming,Richard B. Kieburtz,"Abstract Reactive systems respond to concurrent, possibly unsynchronized streams of input events. Programming reactive systems is challenging without language support for event-triggered actions. It is even more challenging to reason about reactive systems. This paper explores a new conceptual basis for applying functional programming techniques to the design and formal verification of reactive systems. The mathematical foundation for this approach is based upon signature coalgebras and derived proof rules for coinduction. The concepts are illustrated with an example that has been used with the language Esterel.",Oregon Graduate Institute of Science & Technology,"P.O. Box 91000, Portland, OR 97291-1000 USA",3
